Latitude,Longitude
39.9500369,32.6586240
39.9499220,32.6592410
39.9497800,32.6600280
39.9496450,32.6608260
39.9495341,32.6614840
39.9494530,32.6619930
39.9493649,32.6625041
39.9492640,32.6631170
39.9491820,32.6636610
39.9490760,32.6642680
39.9489859,32.6648780
39.9488940,32.6654660
39.9488131,32.6660470
39.9487390,32.6665310
39.9486480,32.6671189
39.9485539,32.6676971
39.9484550,32.6682929
39.9483700,32.6688269
39.9482930,32.6692940
39.9482151,32.6697730
39.9481399,32.6702011
39.9480660,32.6706080
39.9479791,32.6710450
39.9478400,32.6716311
39.9477329,32.6720700
39.9476180,32.6724871
39.9474560,32.6730440
39.9472860,32.6736310
39.9471600,32.6740620
39.9470190,32.6745591
39.9468579,32.6750901
39.9466370,32.6758380
39.9464700,32.6764110
39.9463240,32.6769139
39.9461719,32.6774391
39.9460050,32.6779980
39.9458190,32.6786380
39.9456510,32.6792070
39.9454441,32.6798970
39.9452730,32.6804969
39.9451321,32.6809700
39.9449279,32.6816601
39.9448170,32.6820269
39.9446849,32.6824531
39.9444861,32.6830170
39.9443349,32.6834230
39.9440970,32.6839989
39.9438490,32.6845470
39.9436231,32.6850279
39.9434171,32.6854510
39.9432300,32.6858430
39.9430191,32.6862960
39.9428079,32.6867251
39.9425360,32.6872839
39.9423030,32.6877951
39.9421300,32.6882121
39.9419520,32.6886609
39.9418680,32.6888969
39.9417910,32.6891190
39.9416100,32.6896509
39.9413400,32.6904709
39.9411071,32.6911720
39.9408970,32.6917971
39.9407490,32.6922490
39.9406080,32.6926781
39.9404380,32.6931400
39.9403291,32.6934439
39.9402090,32.6937430
39.9400760,32.6940479
39.9399360,32.6943670
39.9398010,32.6946480
39.9396290,32.6949881
39.9395100,32.6952159
39.9392680,32.6956320
39.9390760,32.6959551
39.9389039,32.6962360
39.9387970,32.6963960
39.9386950,32.6965420
39.9384860,32.6968279
39.9382210,32.6971870
39.9379719,32.6975010
39.9376170,32.6979420
39.9373650,32.6982620
39.9371151,32.6985819
39.9367830,32.6989999
39.9366029,32.6992311
39.9363260,32.6995680
39.9360640,32.6999030
39.9358100,32.7002110
39.9356290,32.7004430
39.9354219,32.7007031
39.9350430,32.7011750
39.9347520,32.7015359
39.9344619,32.7018941
39.9341610,32.7022740
39.9338570,32.7026540
39.9335459,32.7030441
39.9332820,32.7033740
39.9329770,32.7037490
39.9326610,32.7041451
39.9323510,32.7045399
39.9322780,32.7046330
39.9319560,32.7050339
39.9315180,32.7055710
39.9311740,32.7060070
39.9308650,32.7063910
39.9306130,32.7067051
39.9303560,32.7070299
39.9301291,32.7073179
39.9298960,32.7076359
39.9296100,32.7080399
39.9292980,32.7085170
39.9290990,32.7088289
39.9288710,32.7092200
39.9286031,32.7096960
39.9284370,32.7100100
39.9282740,32.7103370
39.9280050,32.7108980
39.9278360,32.7112730
39.9276539,32.7117200
39.9275240,32.7120230
39.9274061,32.7123489
39.9273010,32.7126290
39.9271901,32.7129580
39.9270370,32.7134269
39.9269199,32.7138240
39.9268290,32.7141651
39.9267010,32.7146419
39.9265811,32.7151639
39.9264449,32.7157390
39.9263199,32.7163331
39.9261970,32.7168920
39.9261410,32.7171360
39.9260559,32.7175120
39.9259480,32.7180120
39.9258340,32.7184990
39.9257370,32.7189960
39.9256300,32.7194559
39.9255560,32.7197959
39.9254430,32.7202990
39.9253630,32.7207060
39.9252680,32.7211630
39.9252040,32.7214870
39.9251350,32.7218990
39.9250771,32.7222919
39.9250090,32.7228680
39.9249571,32.7233700
39.9249149,32.7237681
39.9248900,32.7242930
39.9248660,32.7247231
39.9248520,32.7251951
39.9248510,32.7256360
39.9248589,32.7261370
39.9248760,32.7266089
39.9249110,32.7272489
39.9249769,32.7279520
39.9250711,32.7287060
39.9251550,32.7292719
39.9252651,32.7298869
39.9253990,32.7305439
39.9255550,32.7311799
39.9256920,32.7316970
39.9258209,32.7321290
39.9259761,32.7326380
39.9262570,32.7334239
39.9265280,32.7342090
39.9267650,32.7348780
39.9270100,32.7355760
39.9272830,32.7363690
39.9275440,32.7371150
39.9278220,32.7379100
39.9280501,32.7385599
39.9282970,32.7392479
39.9284880,32.7398060
39.9287320,32.7404960
39.9289490,32.7410941
39.9291871,32.7417689
39.9294480,32.7424931
39.9296960,32.7431979
39.9299590,32.7439560
39.9301360,32.7444680
39.9303510,32.7450921
39.9305500,32.7456591
39.9307130,32.7461990
39.9308400,32.7466409
39.9309820,32.7472050
39.9311060,32.7477609
39.9312330,32.7484199
39.9313450,32.7491490
39.9314020,32.7496190
39.9314460,32.7500800
39.9314820,32.7504359
39.9315110,32.7510951
39.9315260,32.7516360
39.9315160,32.7524650
39.9315030,32.7528201
39.9314850,32.7531429
39.9314549,32.7536890
39.9314080,32.7542959
39.9313580,32.7550489
39.9313080,32.7557130
39.9312670,32.7562981
39.9312210,32.7569420
39.9311830,32.7575150
39.9311410,32.7581031
39.9310980,32.7587020
39.9310650,32.7593000
39.9310280,32.7598300
39.9309840,32.7603280
39.9309490,32.7608810
39.9309190,32.7613141
39.9308869,32.7618980
39.9308769,32.7625261
39.9308811,32.7630790
39.9308950,32.7636500
39.9309250,32.7641050
39.9309770,32.7646639
39.9310150,32.7650691
39.9310910,32.7656050
39.9311931,32.7662209
39.9313130,32.7668889
39.9314311,32.7675600
39.9315710,32.7683100
39.9316810,32.7689540
39.9317810,32.7694701
39.9318780,32.7699951
39.9319801,32.7705109
